City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Jamestown,-33.21,138.6,64.56,72,4,15.55,AU,2020-01-03 19:57:34,clear sky
1,Tarbagatay,51.48,107.36,-18.4,75,12,4.47,RU,2020-01-03 19:53:34,mist
2,Dwarka,28.58,77.04,62.01,93,20,1.97,IN,2020-01-03 19:57:34,mist
3,Indianola,40.24,-100.42,42.8,48,1,12.75,US,2020-01-03 19:57:35,clear sky
4,Souillac,45.6,-0.6,50.0,87,90,5.82,FR,2020-01-03 19:57:35,overcast clouds
5,Guayaramerin,-10.82,-65.36,87.8,62,75,6.93,BO,2020-01-03 19:57:35,broken clouds
6,Khatanga,71.98,102.47,-5.01,98,100,6.38,RU,2020-01-03 19:57:36,light snow
7,Los Llanos De Aridane,28.66,-17.92,64.4,55,20,8.05,ES,2020-01-03 19:53:36,few clouds
8,Kodiak,39.95,-94.76,48.0,65,40,14.99,US,2020-01-03 19:57:36,scattered clouds
9,Provideniya,64.42,-173.23,-13.32,70,0,9.57,RU,2020-01-03 19:57:37,clear sky
10,Saint-Philippe,45.36,-73.48,42.01,80,90,5.82,CA,2020-01-03 19:57:37,moderate rain
11,Florianopolis,-27.6,-48.55,82.0,74,75,11.41,BR,2020-01-03 19:56:45,broken clouds
12,Thompson,55.74,-97.86,15.8,92,90,6.93,CA,2020-01-03 19:57:38,light snow
13,Ajdabiya,30.75,20.22,55.56,70,30,7.29,LY,2020-01-03 19:57:39,light rain
14,Ribeira Grande,38.52,-28.7,62.6,82,75,16.11,PT,2020-01-03 19:57:39,broken clouds
15,Atuona,-9.8,-139.03,80.35,76,9,18.25,PF,2020-01-03 19:53:40,light rain
16,Fairbanks,64.84,-147.72,-5.01,74,1,2.82,US,2020-01-03 19:57:40,mist
17,Goundam,16.42,-3.66,60.26,16,20,12.19,ML,2020-01-03 19:57:40,few clouds
18,Tatui,-23.36,-47.86,79.0,61,54,8.99,BR,2020-01-03 19:57:40,broken clouds
19,Rikitea,-23.12,-134.97,79.43,77,100,9.75,PF,2020-01-03 19:57:41,light rain
20,Iberia,-11.41,-69.49,78.84,86,96,3.78,PE,2020-01-03 19:57:41,light rain
21,Tura,64.27,100.22,-5.42,99,100,1.12,RU,2020-01-03 19:53:42,light snow
22,Albany,42.65,-73.75,46.99,61,90,6.93,US,2020-01-03 19:57:42,overcast clouds
23,Rongcheng,37.16,122.42,35.89,60,97,7.54,CN,2020-01-03 19:57:43,overcast clouds
24,Longyearbyen,78.22,15.63,5.0,65,20,18.34,NO,2020-01-03 19:57:44,few clouds
25,Busselton,-33.64,115.35,44.01,49,0,8.77,AU,2020-01-03 19:57:44,clear sky
26,Kysyl-Syr,63.9,122.77,-29.4,95,100,8.9,RU,2020-01-03 19:57:44,overcast clouds
27,Bredasdorp,-34.53,20.04,69.8,68,12,3.36,ZA,2020-01-03 19:57:45,few clouds
28,Kruisfontein,-34.0,24.73,64.89,96,22,3.4,ZA,2020-01-03 19:57:45,few clouds
29,Mataura,-46.19,168.86,48.99,76,99,14.0,NZ,2020-01-03 19:57:46,light rain
30,Dikson,73.51,80.55,-4.72,95,70,18.01,RU,2020-01-03 19:57:46,broken clouds
31,Talnakh,69.49,88.39,1.4,77,40,17.9,RU,2020-01-03 19:53:47,light snow
32,Mount Gambier,-37.83,140.78,64.4,82,90,16.11,AU,2020-01-03 19:53:47,overcast clouds
33,Boda,4.32,17.47,71.98,23,100,5.61,CF,2020-01-03 19:53:47,overcast clouds
34,Waterloo,8.34,-13.07,82.4,69,2,10.29,SL,2020-01-03 19:55:51,haze
35,Nome,30.04,-94.42,73.4,64,1,3.36,US,2020-01-03 19:57:48,clear sky
36,Cabimas,10.39,-71.44,85.82,61,100,13.87,VE,2020-01-03 19:53:48,overcast clouds
37,Lebu,8.96,38.73,59.0,62,75,6.93,ET,2020-01-03 19:57:48,broken clouds
38,Concarneau,47.88,-3.92,46.99,75,90,4.7,FR,2020-01-03 19:57:49,overcast clouds
39,Tiksi,71.64,128.87,-19.19,80,97,5.5,RU,2020-01-03 19:57:49,overcast clouds
40,Rocha,-34.48,-54.34,73.15,54,13,13.62,UY,2020-01-03 19:57:49,few clouds
41,Punta Arenas,-53.16,-70.91,57.2,43,40,13.87,CL,2020-01-03 19:57:50,light rain
42,Yellowknife,62.45,-114.38,5.0,84,75,8.05,CA,2020-01-03 19:57:50,light snow
43,Qaanaaq,77.48,-69.36,-40.18,97,100,7.56,GL,2020-01-03 19:53:51,overcast clouds
44,East London,-33.02,27.91,73.45,94,100,15.01,ZA,2020-01-03 19:57:51,light rain
45,Manzhouli,49.6,117.43,1.0,89,0,7.72,CN,2020-01-03 19:57:51,clear sky
46,Kapaa,22.08,-159.32,75.2,73,75,18.34,US,2020-01-03 19:57:51,broken clouds
47,Lompoc,34.64,-120.46,72.0,30,1,3.36,US,2020-01-03 19:57:52,clear sky
48,Tuktoyaktuk,69.44,-133.03,-18.4,75,75,14.99,CA,2020-01-03 19:57:52,broken clouds
49,Jutai,-1.71,-47.89,77.85,96,100,3.22,BR,2020-01-03 19:57:52,moderate rain
50,Pevek,69.7,170.27,-0.49,63,67,8.57,RU,2020-01-03 19:57:53,broken clouds
51,Ippy,6.26,21.2,73.62,27,99,5.61,CF,2020-01-03 19:57:53,overcast clouds
52,Ushuaia,-54.81,-68.31,60.8,57,75,6.93,AR,2020-01-03 19:56:11,broken clouds
53,Nikolskoye,59.7,30.79,41.0,86,90,13.42,RU,2020-01-03 19:57:54,light intensity shower rain
54,Port Alfred,-33.59,26.89,68.0,96,100,3.0,ZA,2020-01-03 19:53:53,light rain
55,Puerto Narino,-3.77,-70.38,84.2,79,40,5.82,CO,2020-01-03 19:57:55,scattered clouds
56,Grand Gaube,-20.01,57.66,77.0,94,75,1.12,MU,2020-01-03 19:57:55,shower rain
57,Mayo,63.59,-135.9,-7.6,83,40,5.82,CA,2020-01-03 19:53:56,scattered clouds
58,Victoria,5.28,115.24,80.6,83,75,5.82,BN,2020-01-03 19:53:37,broken clouds
59,Whitehorse,60.72,-135.06,6.01,84,75,2.24,CA,2020-01-03 19:53:57,light snow
60,Coihaique,-45.58,-72.07,69.8,59,75,12.75,CL,2020-01-03 19:57:57,broken clouds
61,Bluff,-23.58,149.07,72.28,75,30,10.8,AU,2020-01-03 19:57:57,scattered clouds
62,Chokurdakh,70.62,147.9,-17.64,97,24,4.85,RU,2020-01-03 19:57:57,few clouds
63,Bambous Virieux,-20.34,57.76,77.0,94,75,1.12,MU,2020-01-03 19:57:58,shower rain
64,Vanimo,-2.67,141.3,82.49,78,100,16.69,PG,2020-01-03 19:53:58,moderate rain
65,Walvis Bay,-22.95,14.51,64.4,77,0,8.05,NA,2020-01-03 19:57:58,light rain
66,Tateyama,36.66,137.31,42.01,88,100,1.01,JP,2020-01-03 19:57:59,light snow
67,Egvekinot,66.32,-179.17,-13.49,78,0,11.68,RU,2020-01-03 19:53:59,clear sky
68,Monte Carmelo,-18.73,-47.5,76.08,90,70,4.16,BR,2020-01-03 19:55:16,moderate rain
69,Butaritari,3.07,172.79,83.46,78,100,10.47,KI,2020-01-03 19:58:00,light rain
70,Acapulco,16.86,-99.88,87.8,55,75,6.93,MX,2020-01-03 19:58:00,broken clouds
71,Kattivakkam,13.22,80.32,81.0,88,40,4.7,IN,2020-01-03 19:58:01,scattered clouds
72,Hilo,19.71,-155.08,77.0,64,1,3.36,US,2020-01-03 19:53:06,clear sky
73,Touros,-5.2,-35.46,86.0,62,20,14.99,BR,2020-01-03 19:58:01,few clouds
74,Saint Anthony,43.97,-111.68,32.0,85,90,6.93,US,2020-01-03 19:58:02,overcast clouds
75,Saskylakh,71.97,114.09,-17.27,96,92,7.09,RU,2020-01-03 19:54:03,overcast clouds
76,Bathurst,-33.42,149.58,77.0,50,0,5.86,AU,2020-01-03 19:54:03,clear sky
77,Klaksvik,62.23,-6.59,32.0,63,30,28.86,FO,2020-01-03 19:54:04,scattered clouds
