City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Te Anau,NZ,2020-01-02 20:13:06,-45.41,167.72,48.51,63,16,9.04
1,Khatanga,RU,2020-01-02 20:11:54,71.98,102.47,-6.54,98,100,1.97
2,Mataura,NZ,2020-01-02 20:13:07,-46.19,168.86,52.0,73,53,17.0
3,Bambous Virieux,MU,2020-01-02 20:13:07,-20.34,57.76,78.01,94,75,1.12
4,Saint-Philippe,CA,2020-01-02 20:11:46,45.36,-73.48,39.2,64,1,9.17
5,Adrar,DZ,2020-01-02 20:13:08,27.87,-0.29,53.6,22,0,10.29
6,Hilo,US,2020-01-02 20:13:08,19.71,-155.08,80.6,57,1,6.31
7,Kapaa,US,2020-01-02 20:13:09,22.08,-159.32,78.8,74,40,11.41
8,Hermanus,ZA,2020-01-02 20:13:09,-34.42,19.24,66.0,87,26,1.01
9,Cape Town,ZA,2020-01-02 20:11:03,-33.93,18.42,66.99,82,20,20.8
10,Queanbeyan,AU,2020-01-02 20:13:10,-35.35,149.23,64.4,72,90,6.93
11,Kodiak,US,2020-01-02 20:13:11,39.95,-94.76,53.01,70,1,6.93
12,Ponta Do Sol,BR,2020-01-02 20:13:11,-20.63,-46.0,72.01,87,91,8.63
13,Saldanha,PT,2020-01-02 20:13:12,41.42,-6.55,39.61,82,100,2.82
14,Chokurdakh,RU,2020-01-02 20:13:12,70.62,147.9,-24.9,93,0,3.49
15,Kavieng,PG,2020-01-02 20:13:13,-2.57,150.8,82.94,74,23,4.76
16,Punta Arenas,CL,2020-01-02 20:13:13,-53.16,-70.91,60.8,44,56,17.22
17,Bowen,AU,2020-01-02 20:13:13,-20.01,148.25,75.0,94,40,4.7
18,Albany,US,2020-01-02 20:13:14,42.65,-73.75,45.0,48,40,12.75
19,Yellowknife,CA,2020-01-02 20:13:14,62.45,-114.38,6.8,92,90,6.93
20,Jacareacanga,BR,2020-01-02 20:13:14,-6.22,-57.76,87.8,55,100,4.7
21,Ucluelet,CA,2020-01-02 20:09:58,48.94,-125.55,39.0,93,90,8.05
22,Bluff,AU,2020-01-02 20:13:15,-23.58,149.07,75.79,78,24,12.75
23,East London,ZA,2020-01-02 20:13:15,-33.02,27.91,73.54,85,93,14.18
24,Rikitea,PF,2020-01-02 20:13:16,-23.12,-134.97,79.25,75,100,7.31
25,Saint-Francois,FR,2020-01-02 20:13:16,46.42,3.91,35.6,100,100,2.77
26,Qasigiannguit,GL,2020-01-02 20:13:17,68.82,-51.19,8.6,78,75,20.8
27,Gat,SN,2020-01-02 20:13:17,14.69,-16.54,84.2,38,94,11.41
28,Narsaq,GL,2020-01-02 20:13:18,60.91,-46.05,19.4,48,75,1.12
29,Caravelas,BR,2020-01-02 20:13:18,-17.73,-39.27,78.82,80,100,15.37
30,Vaini,IN,2020-01-02 20:13:19,15.34,74.49,63.93,89,0,1.97
31,Tiksi,RU,2020-01-02 20:12:13,71.64,128.87,-19.26,65,0,4.16
32,Padang,ID,2020-01-02 20:13:20,-0.92,100.36,69.1,90,86,3.91
33,Dikson,RU,2020-01-02 20:11:43,73.51,80.55,-3.01,91,100,24.05
34,Ushuaia,AR,2020-01-02 20:11:58,-54.81,-68.31,53.6,71,20,25.28
35,Qaanaaq,GL,2020-01-02 20:13:21,77.48,-69.36,-39.23,65,9,5.97
36,Pacific Grove,US,2020-01-02 20:13:15,36.62,-121.92,63.0,63,1,6.93
37,Yerbogachen,RU,2020-01-02 20:13:22,61.28,108.01,10.0,95,100,6.2
38,Ugento,IT,2020-01-02 20:13:22,39.93,18.16,44.01,93,5,6.93
39,Klaksvik,FO,2020-01-02 20:13:23,62.23,-6.59,37.4,59,100,40.26
40,Angoche,MZ,2020-01-02 20:13:23,-16.23,39.91,76.01,94,100,11.21
41,Balakliya,UA,2020-01-02 20:13:23,49.46,36.86,30.2,86,90,11.18
42,Abu Samrah,SY,2020-01-02 20:13:24,35.3,37.18,48.33,88,96,10.04
43,Carnarvon,ZA,2020-01-02 20:13:24,-30.97,22.13,67.3,67,0,23.91
